,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
67,AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10,EQ,2309.95,2309.95,2256.0,2285.85,2290.0,2298.45,7347,16750665.45,15-DEC-2022,2340,INE133A01011
68,ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1,EQ,11.2,11.3,11.05,11.1,11.15,11.1,249783,2794773.8,15-DEC-2022,455,INE914E01040
69,ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10,EQ,608.2,616.0,601.15,611.0,606.0,605.9,4081,2490200.6,15-DEC-2022,415,INE155C01010
70,ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2,EQ,72.95,75.4,71.1,73.0,73.0,72.95,401234,29679479.45,15-DEC-2022,4929,INE426A01027
71,ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5,EQ,918.9,968.0,918.1,964.0,966.0,918.1,32358,30800473.0,15-DEC-2022,3522,INE062D01024
72,ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10,EQ,136.8,138.6,133.0,133.85,136.5,136.25,45653,6161882.9,15-DEC-2022,1471,INE773I01017
73,ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,EQ,3099.0,3111.15,3046.0,3063.35,3055.0,3098.85,23890,73545807.95,15-DEC-2022,3646,INE540L01014
74,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2,EQ,2791.0,2831.95,2789.55,2818.5,2814.0,2791.15,28699,80814906.35,15-DEC-2022,4162,INE150B01039
75,ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2,EQ,432.3,434.9,424.3,427.5,428.0,438.15,350202,150726272.2,15-DEC-2022,11871,INE418H01029
76,ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10,EQ,494.45,502.0,490.45,493.4,493.0,494.45,6310,3122466.2,15-DEC-2022,415,INE835G01018
77,ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,6,1,INE326B01027,6,EQ,75.15,75.5,73.5,74.05,73.55,73.7,12388,923846.05,15-DEC-2022,313,INE326B01027
78,ALOKINDS,Alok Industries Limited,BE,19-FEB-2020,1,1,INE270A01029,1,BE,16.7,16.85,16.0,16.05,16.25,16.55,2630101,43122757.8,15-DEC-2022,4630,INE270A01029
79,ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10,EQ,61.35,64.0,61.0,61.65,61.1,61.95,73816,4616612.75,15-DEC-2022,1149,INE385I01010
80,ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10,EQ,283.0,284.4,280.2,280.9,280.5,280.1,12594,3546741.65,15-DEC-2022,551,INE137C01018
81,ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10,EQ,2.3,2.3,2.25,2.25,2.25,2.3,12265,27992.1,15-DEC-2022,37,INE093B01015
82,AMARAJABAT,Amara Raja Batteries Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,EQ,650.75,658.0,647.2,651.55,651.95,653.75,377599,246510496.05,15-DEC-2022,9680,INE885A01032
83,AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,EQ,2004.95,2023.95,1990.5,1997.85,1997.05,2000.25,27762,55745994.3,15-DEC-2022,4249,INE371P01015
84,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10,EQ,27.15,27.7,26.0,26.3,26.45,27.15,84228,2233055.55,15-DEC-2022,356,INE792B01012
85,AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10,EQ,1508.0,1509.95,1484.9,1494.15,1498.0,1494.2,11164,16679924.4,15-DEC-2022,1787,INE540G01014
86,AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,EQ,583.0,584.0,558.75,561.2,559.0,582.2,5047769,2874390764.85,15-DEC-2022,59905,INE079A01024
87,AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10,EQ,66.95,67.25,64.0,65.9,65.0,64.05,121846,8083451.55,15-DEC-2022,1109,INE005I01014
88,AMIORG,Ami Organics Limited,EQ,14-SEP-2021,10,1,INE00FF01017,10,EQ,964.35,967.0,945.15,948.6,951.0,964.35,22243,21291600.0,15-DEC-2022,2372,INE00FF01017
89,AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2,EQ,29.9,30.25,29.45,29.55,29.45,29.8,32074,955375.4,15-DEC-2022,339,INE606A01024
90,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1,EQ,706.5,718.3,706.05,712.35,712.95,706.2,14907,10633288.7,15-DEC-2022,1288,INE098F01031
91,ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5,EQ,694.75,694.75,680.6,686.2,686.0,689.6,22261,15245957.35,15-DEC-2022,1401,INE463V01026
92,ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2,EQ,109.45,110.65,104.85,105.65,106.2,109.7,2527923,272055202.3,15-DEC-2022,25076,INE242C01024
93,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,10,1,INE435A01028,10,EQ,446.0,447.25,436.95,437.75,438.0,445.0,20318,8968455.35,15-DEC-2022,1193,INE435A01028
94,ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2,EQ,129.05,131.45,128.8,129.0,128.8,128.8,166750,21633732.0,15-DEC-2022,3302,INE715B01021
95,ANDREWYU,Andrew Yule & Company Limited,EQ,05-AUG-2021,2,1,INE449C01025,2,EQ,30.9,32.8,30.0,31.4,31.5,30.85,7538901,239654319.6,15-DEC-2022,24288,INE449C01025
96,ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10,EQ,1529.85,1535.05,1481.0,1486.75,1489.0,1526.25,196456,295140749.35,15-DEC-2022,11538,INE732I01013
97,ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10,EQ,39.5,39.95,38.7,38.85,38.75,39.0,37667,1480251.85,15-DEC-2022,451,INE087B01017
98,ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10,EQ,6.15,6.2,5.9,6.1,6.15,6.0,109962,670844.2,15-DEC-2022,348,INE106I01010
99,ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,INE02AR01019,10,EQ,153.7,158.95,153.0,153.85,154.15,153.5,5593,866094.0,15-DEC-2022,213,INE02AR01019
100,ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1,EQ,0.9,0.9,0.85,0.9,0.85,0.85,435449,379192.45,15-DEC-2022,387,INE414B01021
101,ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10,EQ,861.95,866.0,856.05,862.25,864.8,860.85,4989,4296837.7,15-DEC-2022,802,INE294Z01018
102,ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10,EQ,716.0,725.0,698.8,702.2,701.0,713.05,122954,86787804.45,15-DEC-2022,7864,INE930P01018
103,APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,EQ,1690.0,1737.7,1683.4,1709.9,1708.5,1692.75,131416,225838172.45,15-DEC-2022,10464,INE372A01015
104,APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10,EQ,248.2,249.2,239.35,240.5,240.0,245.5,91729,22303331.75,15-DEC-2022,2188,INE071F01012
105,APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2,EQ,484.9,486.0,465.8,470.5,468.0,481.15,88244,41666635.85,15-DEC-2022,4794,INE116A01032
106,APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10,EQ,261.2,262.55,255.6,257.85,258.95,260.7,34231,8895976.25,15-DEC-2022,1705,INE346W01013
107,APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2,EQ,1169.8,1179.0,1147.7,1155.5,1151.0,1168.3,248649,289788456.0,15-DEC-2022,16678,INE702C01027
108,APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,EQ,593.15,599.0,584.0,586.6,585.0,597.8,47483,28044447.4,15-DEC-2022,4867,INE901L01018
109,APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,10,1,INE713T01010,10,EQ,280.0,284.2,278.05,279.9,280.5,278.75,108483,30447386.2,15-DEC-2022,1732,INE713T01010
110,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,EQ,4679.95,4686.6,4627.65,4642.9,4635.0,4666.15,316614,1473017929.4,15-DEC-2022,41456,INE437A01024
111,APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10,EQ,513.9,554.65,505.55,544.45,548.0,507.05,406346,220055343.3,15-DEC-2022,13757,INE126J01016
112,APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,EQ,318.95,325.3,318.15,322.6,320.5,319.35,3522801,1136447103.5,15-DEC-2022,32228,INE438A01022
113,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5,EQ,1344.0,1358.4,1336.55,1350.15,1350.0,1347.05,435,585902.7,15-DEC-2022,96,INE451F01024
114,APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10,EQ,323.55,325.0,320.1,322.25,322.3,322.95,66696,21530922.15,15-DEC-2022,3783,INE266F01018
115,APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2,EQ,303.5,305.3,300.0,303.35,303.55,301.45,57929,17550323.45,15-DEC-2022,2585,INE852O01025
116,ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10,EQ,76.75,77.6,75.2,77.15,77.0,75.2,50942,3917258.1,15-DEC-2022,601,INE877I01016
117,ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2,EQ,26.2,27.4,24.2,26.55,26.9,25.7,323702,8568032.75,15-DEC-2022,1275,INE731A01020
118,ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10,EQ,53.8,53.8,50.05,50.6,50.25,54.4,48580,2486275.8,15-DEC-2022,939,INE610C01014
119,ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10,EQ,158.15,182.8,154.65,176.2,175.9,158.15,1416078,247380831.0,15-DEC-2022,24707,INE298I01015
120,ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1,1,INE420B01036,1,EQ,67.95,69.9,65.0,65.8,65.95,67.95,351624,23861083.15,15-DEC-2022,2109,INE420B01036
121,ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10,EQ,234.95,236.25,228.0,230.95,231.2,233.05,128762,29951936.0,15-DEC-2022,2167,INE643K01018
122,ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10,EQ,1468.0,1468.0,1402.0,1415.15,1410.0,1457.05,9197,13094749.65,15-DEC-2022,1018,INE109C01017
123,AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10,EQ,45.75,45.85,43.9,44.05,44.15,45.45,24102,1069413.4,15-DEC-2022,307,INE210C01013
124,ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10,EQ,201.0,205.8,191.0,194.0,191.3,200.15,30215,5990828.7,15-DEC-2022,1114,INE570D01018
125,ARSHIYA,Arshiya Limited,EQ,14-DEC-2009,2,1,INE968D01022,2,EQ,10.2,10.35,9.85,9.95,10.0,10.25,642197,6455403.8,15-DEC-2022,1156,INE968D01022
126,ARSSINFRA,ARSS Infrastructure Projects Limited,BE,03-MAR-2010,10,1,INE267I01010,10,BE,22.0,22.0,21.2,21.5,21.7,21.5,21553,467365.55,15-DEC-2022,41,INE267I01010
